"+","PA","ELB","El Barrero","El Barrero","6","--3-----","RL","1807",,"0756N 08031W",
"+","PA","EBD","El Bebedero","El Bebedero","7","--3-----","RL","1807",,"0725N 08028W",
"+","PA","EBG","El Bongo","El Bongo","4","--3-----","RL","1807",,"0835N 08237W",
"+","PA","ECC","El Cacao","El Cacao","7","--3-----","RL","1807",,"0730N 08033W",
"+","PA","ECA","El Cacao","El Cacao","9","--3-----","RL","1807",,"0846N 08001W",
"+","PA","ECL","El Calabacito","El Calabacito","6","--3-----","RL","1807",,"0743N 08036W",
"+","PA","ELF","El Ca�af�stulo","El Canafistulo","7","--3-----","RL","1807",,"0737N 08014W",
,"PA","ELC","El Cangrejo","El Cangrejo","8","--3-----","RL","1301",,"0859N 07932W",
"+","PA","ELN","El Ca�o","El Cano","2","--3-----","RL","1807",,"0824N 08031W",
"+","PA","ELP","El Capur�","El Capuri","6","--3-----","RL","1807",,"0743N 08039W",
"+","PA","ELT","El Carate","El Carate","7","--3-----","RL","1807",,"0744N 08018W",
"+","PA","ECD","El Cedro","El Cedro","6","--3-----","RL","1807",,"0741N 08039W",
"+","PA","ECR","El Cedro","El Cedro","7","--3-----","RL","1807",,"0747N 08032W",
"+","PA","ECH","El Chir�","El Chiru","2","--3-----","RL","1807",,"0824N 08012W",
"+","PA","ERR","El Chorrillo","El Chorrillo","8","--3-----","RL","1807",,"0857N 07932W",
"+","PA","ECI","El Cirial (Isla Iguana)","El Cirial (Isla Iguana)","7","--3-----","RL","1807",,"0737N 07959W",
,"PA","ECU","El Ciruelito","El Ciruelito","2","--3-----","RL","1701",,"0833N 08007W",
"+","PA","ELO","El Cocal","El Cocal","7","--3-----","RL","1807",,"0744N 08017W",
"+","PA","CCO","El Coco","El Coco","2","--3-----","RL","1807",,"0824N 08021W",
"+","PA","ECO","El Coco","El Coco","9","--3-----","RL","1807",,"0852N 07948W",
"+","PA","ECP","El Cop�","El Cope","2","--3-----","RL","1807",,"0826N 08041W",
"+","PA","ECT","El Cortezo","El Cortezo","7","--3-----","RL","1807",,"0726N 08038W",
"+","PA","ECS","El Cristo","El Cristo","2","--3-----","RL","1807",,"0815N 08037W",
,"PA","DOR","El Dorado","El Dorado","8","--3--6--","RL","0501",,"0901N 07933W",
"�","PA","EJO","El Ejido","El Ejido","7","--3-----","RL","1807",,"0755N 08023W","@Sub"
"+","PA","EEP","El Empalme","El Empalme","1","--3-----","RL","1807",,"0925N 08231W",
"+","PA","EES","El Espinal","El Espinal","7","--3-----","RL","1807",,"0752N 08021W",
"+","PA","EEN","El Espino","El Espino","9","--3-----","RL","1807",,"0829N 08001W",
"+","PA","EGB","El Guabo","El Guabo","3","--3-----","RL","1807",,"0905N 08005W",
"+","PA","EGU","El Gu�simo","El Guasimo","7","--3-----","RL","1807",,"0748N 08032W",
,"PA","EGL","El Guayabal","El Guayabal",,"--3-----","RL","0601",,"0754N 08031W",
"+","PA","EHR","El Harino","El Harino","2","--3-----","RL","1807",,"0837N 08034W",
,"PA","ELH","El Higo","El Higo",,"--3-----","RL","0601",,"0829N 08213W",
"+","PA","LHI","El Higo","El Higo","10","--3-----","RL","1807",,"0813N 08119W",
"+","PA","EHI","El Higo","El Higo","9","--3-----","RL","1807",,"0827N 08002W",
"+","PA","LLI","El L�bano","El Libano","9","--3-----","RL","1807",,"0837N 07950W",
"+","PA","ELL","El Lim�n","El Limon","6","--3-----","RL","1807",,"0836N 08022W",
"+","PA","LLL","El Llano","El Llano","10","--3-----","RL","1807",,"0916N 07941W",
"+","PA","EMC","El Macano","El Macano","7","--3-----","RL","1807",,"0742N 08024W",
"+","PA","EMN","El Manantial","El Manantial","7","--3-----","RL","1807",,"0747N 08015W",
"+","PA","ENN","El Mara��n","El Maranon","10","--3-----","RL","1807",,"0802N 08113W",
"+","PA","EMR","El Mar�a","El Maria","10","--3-----","RL","1807",,"0802N 08127W",
"+","PA","EMZ","El Mu�oz","El Munoz","7","--3-----","RL","1807",,"0740N 08019W",
"+","PA","ENO","El Nancito","El Nancito","4","--3-----","RL","1807",,"0814N 08144W",
"+","PA","EPJ","El P�jaro","El Pajaro","6","--3-----","RL","1807",,"0757N 08035W",
"+","PA","EPR","El Palmar","El Palmar","2","--3-----","RL","1807",,"0835N 08042W",
"+","PA","EPT","El Pantano","El Pantano","10","--3-----","RL","1807",,"0833N 08104W",
"+","PA","EPG","El Pedregoso","El Pedregoso","6","--3-----","RL","1807",,"0834N 08024W",
"+","PA","EPD","El Pedregoso","El Pedregoso","7","--3-----","RL","1807",,"0742N 08020W",
"+","PA","EPH","El Picacho","El Picacho","2","--3-----","RL","1807",,"0835N 08030W",
"+","PA","EPC","El Picador","El Picador","10","--3-----","RL","1807",,"0821N 08115W",
"�","PA","PVE","El Porvenir","El Porvenir","4","---4----","QQ","1807",,"0816N 08251W","@Sub@Coo"
"+","PA","PRR","El Potrero","El Potrero","10","--3-----","RL","1807",,"0822N 08049W",
"+","PA","PTR","El Potrero","El Potrero","2","--3-----","RL","1807",,"0831N 08032W",
"+","PA","EPO","El Prado","El Prado","10","--3-----","RL","1807",,"0814N 08130W",
"+","PA","EPU","El Puerto","El Puerto","4","--3-----","RL","1807",,"0721N 08054W",
,"PA","ELE","El Real","El Real",,"1--4----","AI","9601",,,
"+","PA","RSM","El Real de Santa Mar�a","El Real de Santa Maria","5","--3-----","RL","1807",,"0808N 07743W",
"+","PA","RNN","El Rincon","El Rincon","10","-----6--","RQ","1807",,"0810N 08131W",
"+","PA","ETJ","El Tejar","El Tejar","4","--3-----","RL","1807",,"0826N 08234W",
"+","PA","ETR","El Toro","El Toro","6","--3-----","RL","1807",,"0745N 08052W",
"+","PA","EVL","El Valle","El Valle","2","--3-----","RL","1807",,"0836N 08008W",
,"PA","EVO","El Veladero","El Veladero","4","--3-----","RQ","1001",,"0826N 08217W",
"+","PA","EDC","Entradero del Castillo","Entradero del Castillo","6","--3-----","RL","1807",,"0751N 08051W",
"+","PA","ESC","Escobal","Escobal","3","--3-----","RL","1807",,"0908N 07957W",
,"PA","FSM","Finca Santa M�nica","Finca Santa Monica",,"--3--6--","RL","0607",,"0822N 08012W",
"�","PA","FLZ","Flores","Flores","7","--3-----","RL","1807",,"0729N 08024W","@Sub"
,"PA","HOW","Fort Kobbe","Fort Kobbe",,"---4----","AI","0001",,,
,"PA","FOS","Fort Sherman","Fort Sherman","8","--3-----","RL","1407",,"0921N 07957W",
"+","PA","FUA","Fuerte Davis","Fuerte Davis","3","--3-----","RL","1807",,"0917N 07954W",
,"PA","GBA","Gamboa","Gamboa",,"1-------","RL","9811",,,
"�","PA","GHE","Garachin�","Garachine","5","---4----","AI","1807",,"0804N 07822W","@Sub"
"+","PA","GRR","Garrote","Garrote","3","--3-----","RL","1807",,"0936N 07935W",
,"PA","GTN","Gatun","Gatun",,"1-------","QQ","8103",,,
"+","PA","GBE","Gobea","Gobea","3","--3-----","RL","1807",,"0910N 08014W",
"+","PA","GMZ","G�mez","Gomez","4","--3-----","RL","1807",,"0834N 08244W",
"+","PA","GVZ","Gonzalo V�squez","Gonzalo Vasquez","8","--3-----","RL","1807",,"0825N 07827W",
"+","PA","GBL","Guabal","Guabal","4","--3-----","RL","1807",,"0834N 08232W",
"+","PA","GBT","Guabito","Guabito","1","--3-----","RL","1807",,"0929N 08236W",
"+","PA","GUA","Guaca","Guaca","4","--3-----","RL","1807",,"0833N 08233W",
"+","PA","GLP","Guadalupe","Guadalupe","9","--3-----","RL","1807",,"0851N 07948W",
,"PA","G8L","Gualaca","Gualaca","4","1-------","RL","1401",,"0832N 08218W",
"+","PA","GRE","Guarar�","Guarare","7","--3-----","RL","1807",,"0749N 08017W",
"+","PA","GAR","Guarar� Arriba","Guarare Arriba","7","--3-----","RL","1807",,"0749N 08022W",
"+","PA","GRA","Guarumal","Guarumal","10","--3-----","RL","1807",,"0748N 08115W",
"+","PA","GRL","Guarumal","Guarumal","4","--3-----","RL","1807",,"0821N 08232W",
"+","PA","GYL","Guayabal","Guayabal","4","--3-----","RL","1807",,"0837N 08235W",
"+","PA","GYO","Guayabito","Guayabito","9","--3-----","RL","1807",,"0832N 08000W",
"+","PA","GZN","Guzm�n","Guzman","2","--3-----","RL","1807",,"0831N 08035W",
,"PA","HER","Herrera","Herrera","7","1----6--","RQ","0907",,"0750N 08040W",
"+","PA","HCC","Hicaco","Hicaco","10","--3-----","RL","1807",,"0739N 08112W",
"+","PA","HRC","Horconcitos","Horconcitos","4","--3-----","RL","1807",,"0819N 08210W",
,"PA","ARD","Howard","Howard","8","-----6--","RL","1107",,"0855N 07936W",
"+","PA","IDC","Isla de Ca�as","Isla de Canas","7","--3-----","RL","1807",,"0725N 08019W",
"+","PA","IGA","Isla Gobernadora","Isla Gobernadora","10","--3-----","RL","1807",,"0733N 08112W",
"+","PA","IGE","Isla Grande","Isla Grande","3","--3-----","RL","1807",,"0938N 07934W",
,"PA","JQE","Jaqu�","Jaque",,"---4----","AI","0212",,"0731N 07810W",
"+","PA","JUY","Juay","Juay","4","--3-----","RL","1807",,"0817N 08157W",
